loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken,loan_duration_years,total_repayment,total_interest_paid,default_flag,ltv_ratio,risk_category
LOAN000001,CUST01279,Home,Secured,284455.38,6.51,48,6747.16,2022-08-21,2026-07-31,Monthly,Closed,128,63069.24,284707.78,13.0,49974.51,LO141,BR49,False,4.0,323863.68,39408.3,False,0.9991,Medium
LOAN000002,CUST02841,Wedding,Unsecured,184243.24,19.09,60,4788.5,2022-03-10,2027-02-12,Quarterly,Active,208,148806.32,155222.64,6.0,2501.86,LO141,BR35,False,5.0,287310.0,103066.76,False,1.187,Medium
LOAN000003,CUST03125,Personal,Unsecured,242411.61,14.73,60,5732.66,2023-01-02,2027-12-07,Monthly,Closed,208,172355.25,364229.94,6.0,48127.82,LO155,BR17,False,5.0,343959.6,101547.99,False,0.6655,Medium
LOAN000004,CUST01110,Education,Secured,291547.14,8.2,12,25388.2,2022-08-16,2023-08-11,Monthly,Closed,13,291492.53,30213.94,3.0,29533.66,LO113,BR42,False,1.0,304658.4,13111.26,False,9.6494,Low
LOAN000005,CUST04291,Education,Secured,116382.54,13.53,240,1407.69,2018-11-04,2038-07-22,Quarterly,Active,145,65020.9,168577.37,19.0,6426.67,LO124,BR49,True,20.0,337845.6,221463.06,False,0.6904,Medium
LOAN000006,CUST07028,Vehicle,Unsecured,453295.16,12.17,12,40310.78,2020-11-26,2021-11-21,Monthly,Active,104,128837.76,671977.89,1.0,34615.15,LO177,BR28,False,1.0,483729.36,30434.2,False,0.6746,Low
LOAN000007,CUST07197,Medical,Unsecured,518322.07,11.46,60,11388.85,2023-02-26,2028-01-31,Bi-Annual,Active,151,866.09,26927.25,16.0,47533.47,LO154,BR35,True,5.0,683331.0,165008.93,False,19.249,Medium
LOAN000008,CUST09897,Personal,Secured,215165.28,13.68,24,10298.21,2022-11-07,2024-10-27,Monthly,Under Review,180,196492.71,61580.19,16.0,22322.54,LO196,BR30,False,2.0,247157.04,31991.76,False,3.4941,Medium
LOAN000009,CUST04676,Business,Unsecured,428197.18,16.43,48,12229.74,2022-08-12,2026-07-22,Monthly,Closed,80,394927.01,320961.58,18.0,46094.06,LO189,BR44,True,4.0,587027.52,158830.34,False,1.3341,Medium
LOAN000010,CUST02002,Travel,Unsecured,1078539.36,14.08,60,25556.58,2021-12-15,2026-11-19,Monthly,Active,211,813103.9975,228302.64500000002,9.0,25383.190000000002,LO106,BR31,False,5.0,1533394.8,454855.44,False,4.7242,Medium
LOAN000011,CUST00168,Vehicle,Secured,370634.52,10.87,84,6320.86,2023-04-08,2030-03-02,Monthly,Closed,180,177211.95,118484.01,2.0,20113.37,LO185,BR26,False,7.0,530952.24,160317.72,False,3.1281,Low
LOAN000012,CUST03477,Personal,Secured,364622.0,17.72,240,5548.81,2019-04-30,2039-01-15,Monthly,Defaulted,212,92440.57,639975.68,14.0,25925.33,LO139,BR38,False,20.0,1331714.4,967092.4,True,0.5697,High
LOAN000013,CUST03445,Home,Unsecured,70891.17,21.83,36,2701.14,2022-09-03,2025-08-18,Monthly,Active,41,36516.74,126523.74,19.0,4402.35,LO160,BR24,False,3.0,97241.04,26349.87,False,0.5603,Medium
LOAN000014,CUST03828,Vehicle,Unsecured,517401.97,21.47,240,9390.32,2020-11-11,2040-07-29,Monthly,Defaulted,179,39943.79,62544.97,9.0,17956.03,LO182,BR49,True,20.0,2253676.8,1736274.83,True,8.2725,High
LOAN000015,CUST08708,Medical,Secured,206274.42,21.95,36,7872.38,2018-04-25,2021-04-09,Monthly,Closed,101,34461.8,84303.0,5.0,49720.78,LO141,BR45,True,3.0,283405.68,77131.26,False,2.4468,Low
LOAN000016,CUST02108,Home,Unsecured,522660.33,14.05,24,25106.78,2019-10-03,2021-09-22,Monthly,Active,65,106316.25,582751.95,7.0,906.04,LO197,BR46,False,2.0,602562.72,79902.39,False,0.8969,Medium
LOAN000017,CUST02812,Vehicle,Secured,322120.03,14.08,84,4888.47,2019-10-09,2026-09-02,Quarterly,Active,50,44957.99,228302.64500000002,9.0,25383.190000000002,LO114,BR25,True,7.0,410631.48,88511.45,False,1.4109,Medium
LOAN000018,CUST08643,Home,Unsecured,98073.0,17.79,60,2479.22,2022-06-06,2027-05-11,Monthly,Closed,138,62625.05,173854.93,7.0,43366.45,LO181,BR10,True,5.0,148753.2,50680.2,False,0.5641,Medium
LOAN000019,CUST04765,Travel,Secured,216496.65,16.79,120,3733.9,2019-03-27,2029-02-02,Quarterly,Active,172,56378.01,230790.08,6.0,3617.06,LO100,BR15,True,10.0,448068.0,231571.35,False,0.9381,Medium
LOAN000020,CUST01638,Personal,Secured,661688.87,21.49,36,25095.95,2019-06-05,2022-05-20,Bi-Annual,Active,233,238416.81,949324.49,4.0,40087.0,LO137,BR37,False,3.0,903454.2,241765.33,False,0.697,Low
LOAN000021,CUST09621,Home,Secured,1385075.8175,12.25,240,34236.94,2020-03-12,2039-11-28,Quarterly,Closed,105,813103.9975,1577418.3025,5.0,3438.21,LO123,BR17,False,20.0,8216865.6,6831789.78,False,0.8781,Low
LOAN000022,CUST06438,Education,Unsecured,130880.57,21.91,12,12244.02,2020-11-12,2021-11-07,Quarterly,Under Review,24,59917.46,222070.83,11.0,46076.99,LO134,BR21,True,1.0,146928.24,16047.67,False,0.5894,Medium
LOAN000023,CUST04302,Home,Secured,80032.21,7.52,36,2490.23,2020-11-11,2023-10-27,Monthly,Active,153,36022.68,150561.22,19.0,15968.57,LO117,BR40,True,3.0,89648.28,9616.07,False,0.5316,Medium
LOAN000024,CUST02092,Vehicle,Secured,260359.75,12.06,60,5799.46,2021-10-21,2026-09-25,Monthly,Active,102,247832.01,24890.39,1.0,25537.44,LO141,BR48,False,5.0,347967.6,87607.85,False,10.4603,Low
LOAN000025,CUST09431,Medical,Unsecured,327353.5,17.97,36,11829.69,2023-01-12,2025-12-27,Monthly,Active,226,171599.97,567658.46,7.0,27615.6,LO171,BR19,True,3.0,425868.84,98515.34,False,0.5767,Medium
LOAN000026,CUST03891,Personal,Secured,425771.56,16.04,36,14977.27,2019-12-15,2022-11-29,Monthly,Closed,195,313954.7,541331.23,9.0,32276.44,LO133,BR29,True,3.0,539181.72,113410.16,False,0.7865,Medium
LOAN000027,CUST05189,Personal,Unsecured,599946.9,9.69,240,5666.94,2020-12-28,2040-09-14,Monthly,Defaulted,22,554833.93,1156562.63,5.0,21290.46,LO150,BR21,True,20.0,1360065.6,760118.7,True,0.5187,High
LOAN000028,CUST00782,Education,Unsecured,385004.45,12.04,240,4249.97,2020-12-11,2040-08-28,Quarterly,Active,188,131234.33,590480.92,16.0,29167.4,LO147,BR34,False,20.0,1019992.8,634988.35,False,0.652,Medium
LOAN000029,CUST07567,Business,Unsecured,145275.89,9.02,84,2338.83,2018-12-24,2025-11-17,Monthly,Active,122,57441.99,289464.25,15.0,43434.99,LO166,BR18,False,7.0,196461.72,51185.83,False,0.5019,Medium
LOAN000030,CUST07292,Vehicle,Unsecured,357185.14,21.91,120,7361.03,2023-02-09,2032-12-18,Quarterly,Defaulted,224,352819.58,364399.85,3.0,46915.92,LO175,BR42,True,10.0,883323.6,526138.46,True,0.9802,High
LOAN000031,CUST08203,Wedding,Unsecured,105187.5,14.47,240,1344.09,2022-10-30,2042-07-17,Bi-Annual,Active,190,66591.33,150799.9,13.0,31160.55,LO174,BR15,True,20.0,322581.6,217394.1,False,0.6975,Medium
LOAN000032,CUST06877,Medical,Unsecured,81697.27,19.94,84,1811.24,2021-01-14,2027-12-09,Monthly,Under Review,108,41156.79,97112.92,4.0,39167.39,LO126,BR14,False,7.0,152144.16,70446.89,False,0.8413,Low
LOAN000033,CUST05704,Home,Unsecured,706758.94,12.61,84,12707.96,2024-01-13,2030-12-07,Monthly,Active,179,498409.33,391439.9,9.0,2034.99,LO125,BR30,True,7.0,1067468.64,360709.7,False,1.8055,Medium
LOAN000034,CUST03442,Medical,Secured,604771.97,10.28,12,44057.942500000005,2020-01-24,2021-01-18,Monthly,Active,55,555147.44,374530.26,15.0,921.24,LO131,BR11,True,1.0,528695.31,-76076.66,False,1.6147,Medium
LOAN000035,CUST03477,Home,Unsecured,49518.43,14.06,12,4447.52,2022-09-28,2023-09-23,Monthly,Active,30,27269.17,32636.23,2.0,18723.77,LO143,BR38,True,1.0,53370.24,3851.81,False,1.5173,Low
LOAN000036,CUST03727,Home,Unsecured,695627.06,18.43,36,25298.89,2019-01-30,2022-01-14,Monthly,Active,200,499663.87,1310752.33,16.0,47402.61,LO161,BR17,False,3.0,910760.04,215132.98,False,0.5307,Medium
LOAN000037,CUST06113,Personal,Secured,302829.26,20.61,240,5289.91,2021-05-18,2041-02-02,Monthly,Closed,94,282436.48,378165.63,2.0,12255.28,LO111,BR36,True,20.0,1269578.4,966749.14,False,0.8008,Low
