loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken
LOAN000001,CUST01279,Home,Secured,284455.38,6.51,48,6747.16,2022-08-21,2026-07-31,Monthly,Closed,128,63069.24,284707.78,13,49974.51,LO141,BR49,False
LOAN000002,CUST02841,Wedding,Unsecured,184243.24,19.09,60,4788.5,2022-03-10,2027-02-12,Quarterly,Active,208,148806.32,155222.64,6,2501.86,LO141,BR35,False
LOAN000003,CUST03125,Personal,Unsecured,242411.61,14.73,60,5732.66,2023-01-02,2027-12-07,Monthly,Closed,208,172355.25,364229.94,6,48127.82,LO155,BR17,False
LOAN000004,CUST01110,Education,Secured,291547.14,8.2,12,25388.2,2022-08-16,2023-08-11,Monthly,Closed,13,291492.53,30213.94,3,29533.66,LO113,BR42,False
LOAN000005,CUST04291,Education,Secured,116382.54,13.53,240,1407.69,2018-11-04,2038-07-22,Quarterly,Active,145,65020.9,168577.37,19,6426.67,LO124,BR49,True
LOAN000006,CUST07028,Vehicle,Unsecured,453295.16,12.17,12,40310.78,2020-11-26,2021-11-21,Monthly,Active,104,128837.76,671977.89,1,34615.15,LO177,BR28,False
LOAN000007,CUST07197,Medical,Unsecured,518322.07,11.46,60,11388.85,2023-02-26,2028-01-31,Bi-Annual,Active,151,866.09,26927.25,16,47533.47,LO154,BR35,True
LOAN000008,CUST09897,Personal,Secured,215165.28,13.68,24,10298.21,2022-11-07,2024-10-27,Monthly,Under Review,180,196492.71,61580.19,16,22322.54,LO196,BR30,False
LOAN000009,CUST04676,Business,Unsecured,428197.18,16.43,48,12229.74,2022-08-12,2026-07-22,Monthly,Closed,80,394927.01,320961.58,18,46094.06,LO189,BR44,True
LOAN000010,CUST02002,Travel,Unsecured,1078539.36,,60,25556.58,2021-12-15,2026-11-19,Monthly,Active,211,876826.57,,,,LO106,BR31,False
