loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken,loan_duration_years,total_repayment,total_interest_paid,default_flag,ltv_ratio,risk_category,disbursement_year,disbursement_month,days_to_maturity,log_loan_amount,log_emi_amount,log_outstanding_balance,log_total_repayment,log_total_interest_paid,insurance_taken_enc,default_flag_enc,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Personal,loan_purpose_Travel,loan_purpose_Vehicle,loan_purpose_Wedding,loan_type_Unsecured,repayment_frequency_Monthly,repayment_frequency_Quarterly,risk_category_Low,risk_category_Medium,loan_amount_scaled,interest_rate_scaled,tenure_months_scaled,emi_amount_scaled,num_payments_made_scaled,outstanding_balance_scaled,num_late_payments_scaled
LOAN000001,CUST00389,Education,Unsecured,105783.46,17.27,180,1648.3,2023-08-25,2038-06-07,Monthly,Active,171,21521.97,161492.5,12.0,10616.08,LO145,BR27,True,15.0,296694.0,190910.54,False,0.655,Medium,2023,8,5400,11.569158906710907,7.408106234454107,9.976876015905475,12.600459954097818,12.159565458384424,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-0.8521053090575825,0.7057693941084533,1.303264165726395,-0.8465637479522963,0.7996202883642174,-0.8409205604124376,0.4690453859241098
LOAN000002,CUST00416,Home,Unsecured,280562.01,18.78,36,10253.11,2019-02-18,2022-02-02,Monthly,Active,153,253555.66,169795.59,18.0,34662.85,LO171,BR30,True,3.0,369111.96,88549.95,False,1.6524,Medium,2019,2,1080,12.544553613299424,9.235433879807074,12.443342587886672,12.818858000837317,11.391333371555463,1,0,0,1,0,0,0,0,0,1,1,0,0,1,-0.28102717392698884,1.046478806466751,-0.7441049198971964,-0.02045372861700954,0.539753319348403,0.4743756727051836,1.5511803444775545
LOAN000003,CUST00784,Education,Secured,154639.45,9.45,48,3881.34,2023-08-19,2027-07-29,Monthly,Active,99,116680.88,304876.65,4.0,41293.17,LO164,BR33,True,4.0,186304.32,31664.87,False,0.5072,Low,2023,8,1440,11.948858023862458,8.264193343613458,11.667206536296145,12.135142112274286,10.362994723703366,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.6924713742345797,-1.0586992182371657,-0.5734908294285638,-0.6321793841399089,-0.2398475876990406,-0.3015068404884958,-0.9738012254804831
LOAN000004,CUST01007,Personal,Unsecured,1408858.46,17.84,48,42831.4725,2019-09-08,2023-08-18,Monthly,Active,237,754642.8625,1522081.7899999998,14.0,40369.98,LO109,BR50,True,4.0,2055910.68,647052.22,False,0.9256,Medium,2019,9,1440,14.15829104140636,10.665051797171085,13.534001211645206,14.536229947436063,13.380183826668931,1,0,0,0,0,1,0,0,0,1,1,0,0,1,3.4056119047269373,0.8343815563893999,-0.5734908294285638,3.107251784321333,1.752465841422204,3.3148171185646045,0.8297570387752581
LOAN000005,CUST01174,Personal,Unsecured,236442.08,21.31,60,6437.85,2018-04-08,2023-03-13,Quarterly,Active,106,224602.24,244263.26,3.0,39253.4,LO146,BR16,False,5.0,386271.0,149828.92,False,0.968,Low,2018,4,1800,12.37346278141411,8.770105231724052,12.322090746828023,12.864297063500853,11.917256063098584,0,0,0,0,0,1,0,0,0,1,0,1,1,0,-0.4251863247294892,1.6173362986962152,-0.40287673895993115,-0.38674008617390454,-0.13878821085955717,0.3102515566689631,-1.154157051906057
LOAN000006,CUST01015,Vehicle,Unsecured,446845.06,20.56,36,16734.14,2022-04-15,2025-03-30,Bi-Annual,Closed,89,127080.2,32454.12,3.0,6489.99,LO183,BR50,True,3.0,602429.04,155583.98,False,13.7685,Low,2022,4,1080,13.009969429494175,9.725265979311063,11.752581531209502,13.308726821422368,11.954947356504169,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0.26229243879337794,1.4481097693791802,-0.7441049198971964,0.6017614996811832,-0.3842181260411598,-0.24255770071924618,-1.154157051906057
LOAN000007,CUST00428,Home,Secured,1047496.54,18.74,240,16765.08,2023-05-08,2043-01-23,Monthly,Active,107,85014.2,1522081.7899999998,17.0,19861.88,LO161,BR50,False,20.0,4023619.2,2976122.66,False,0.6882,Medium,2023,5,7200,13.861914582326985,9.727113076747912,11.350585343014844,15.207692602609477,14.906132226491197,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2.224884113011016,1.0374533915698418,2.156334618069558,0.6047319132055069,-0.12435115702534526,-0.48101122590485973,1.3708245180519805
LOAN000008,CUST01005,Personal,Unsecured,111591.55,17.54,48,3251.24,2018-06-03,2022-05-13,Monthly,Active,129,92190.09,38885.96,18.0,49237.23,LO177,BR30,False,4.0,156059.52,44467.97,False,2.8697,Medium,2018,6,1440,11.622609570428647,8.087099268682568,11.431618767130923,11.957999159716977,10.702546921554474,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.8331277331143639,0.7666909446625858,-0.5734908294285638,-0.6926725180014544,0.19326402732731693,-0.4403342833183483,1.5511803444775545
LOAN000009,CUST01317,Education,Unsecured,43313.35,10.14,48,1101.45,2021-04-03,2025-03-13,Quarterly,Active,42,43244.78,46634.67,19.0,49444.38,LO129,BR42,False,4.0,52869.6,9556.25,False,0.9288,Medium,2021,4,1440,10.676239267862805,7.005290254818669,10.674654935345208,10.875602697755985,9.165055307760499,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-1.0562225415223392,-0.9030108112654932,-0.5734908294285638,-0.8990644149133914,-1.06275965624912,-0.7177835704101246,1.7315361709031285
LOAN000010,CUST00334,Travel,Unsecured,397126.84,16.33,84,7962.58,2019-10-23,2026-09-16,Monthly,Active,236,229711.05,314266.02,8.0,30121.37,LO157,BR44,True,7.0,668856.72,271729.88,False,1.2637,Medium,2019,10,2520,12.89201352294694,8.982633926475495,12.344581847031309,13.413326640856418,12.512567443722512,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0.09984122061121216,0.4936721440311024,-0.0616485580226659,-0.2403574548571072,1.738028787587992,0.3392111381362648,-0.25237791977818663
